epoch,min_v_loss,t_ce,v_ce
1,5.057108716098831,5.312857775092084,5.057108716098831
2,4.836246407335379,4.983097062543327,4.836246407335379
3,4.765967135679567,4.823921277933078,4.765967135679567
4,4.7353768863282575,4.7540743850687415,4.7353768863282575
5,4.719463562838056,4.716871985257299,4.719463562838056
6,4.714095022706075,4.689979722631878,4.714095022706075
7,4.714095022706075,4.668642571255296,4.716532072405247
8,4.714095022706075,4.649038944229707,4.714197749129782
9,4.714095022706075,4.630257626961325,4.7145700218016175
10,4.714095022706075,4.612549172817723,4.717180488770977
11,4.714095022706075,4.594904140245228,4.727744589576989
12,4.714095022706075,4.578338828829247,4.766580568182357
13,4.714095022706075,4.561001677655526,4.791352946017473
