epoch,min_v_loss,t_ce,v_ce
1,5.476084723401425,5.502970622735714,5.476084723401425
2,5.443793218527268,5.433182420132919,5.443793218527268
3,5.379053984115373,5.3831551653163,5.379053984115373
4,5.329226643291872,5.323262170484997,5.329226643291872
5,5.287112620339465,5.27348429240713,5.287112620339465
6,5.249654755663516,5.23168780043599,5.249654755663516
7,5.213667912269705,5.187839219615632,5.213667912269705
8,5.182033254139458,5.14783609010868,5.182033254139458
9,5.149057722803375,5.10611325583601,5.149057722803375
10,5.116424226049169,5.066461107061734,5.116424226049169
11,5.090136449728438,5.02554300240665,5.090136449728438
12,5.069442713438575,4.987148642215156,5.069442713438575
13,5.041359993948865,4.949822260833245,5.041359993948865
14,5.014482135203347,4.917051067144409,5.014482135203347
15,4.988313190972628,4.881829231896261,4.988313190972628
16,4.9748038533908225,4.851125231230942,4.9748038533908225
17,4.948959336351991,4.815390599845868,4.948959336351991
18,4.920013698179329,4.78721559015217,4.920013698179329
19,4.895815571742272,4.757963674269838,4.895815571742272
20,4.878052448158834,4.725586580645489,4.878052448158834
21,4.865476892955266,4.701600730906388,4.865476892955266
22,4.839903532569089,4.673276823288089,4.839903532569089
23,4.831520877667328,4.647841521115005,4.831520877667328
24,4.816304285134842,4.621273515010074,4.816304285134842
25,4.792025003860247,4.598298210539021,4.792025003860247
26,4.776335879937926,4.5790565942873425,4.776335879937926
27,4.776335879937926,4.554212620862502,4.7802128720639345
28,4.767968498059174,4.531963369177216,4.767968498059174
29,4.749978143777419,4.510649505687993,4.749978143777419
30,4.745370359563117,4.489088402781893,4.745370359563117
31,4.731861078917092,4.469684934746021,4.731861078917092
32,4.72690804324933,4.45603385088554,4.72690804324933
33,4.702365063909276,4.432250512718184,4.702365063909276
34,4.685297702675435,4.414577412670251,4.685297702675435
35,4.685297702675435,4.399774459142453,4.691516982975291
36,4.684057741022823,4.3807886653765085,4.684057741022823
37,4.673235971536209,4.3646411830787795,4.673235971536209
38,4.662623426807459,4.354690197053336,4.662623426807459
39,4.662623426807459,4.334805945934331,4.668690816679996
40,4.64230637052166,4.318020012463147,4.64230637052166
41,4.64230637052166,4.303939211271115,4.653496720897619
42,4.62792671260549,4.288384160163943,4.62792671260549
43,4.62792671260549,4.274729407775626,4.6467488132306
44,4.62792671260549,4.260744545700117,4.635298864165348
45,4.62792671260549,4.248173353782466,4.628671411258072
46,4.616754773837418,4.236120442928343,4.616754773837418
47,4.609712807100208,4.222715648708291,4.609712807100208
48,4.609712807100208,4.212656478466067,4.619385882989684
49,4.609712807100208,4.196538842666378,4.615464559241907
50,4.609712807100208,4.189320095878211,4.618617292660385
51,4.599758475574095,4.171904634714774,4.599758475574095
52,4.596339524681889,4.164331260104272,4.596339524681889
53,4.596339524681889,4.150661903116296,4.61813279052279
54,4.591053268802699,4.1439783813518165,4.591053268802699
55,4.591053268802699,4.130158257419473,4.597158218497662
56,4.591053268802699,4.124561850966159,4.622064024654789
57,4.591053268802699,4.112540699805483,4.6319902832828355
58,4.590091844103229,4.1056238870854616,4.590091844103229
59,4.590091844103229,4.096297720797383,4.612939436044266
60,4.589584073024009,4.082915458757157,4.589584073024009
61,4.589584073024009,4.0732573559888365,4.64248423789864
62,4.576411318423142,4.067383503069341,4.576411318423142
63,4.576411318423142,4.057046314026422,4.590383575923406
64,4.576411318423142,4.046203310548121,4.607006467990019
65,4.576411318423142,4.039487528865927,4.588947755187304
66,4.576411318423142,4.0290194220374,4.58313616354074
67,4.576411318423142,4.0232065256674865,4.602974816934386
68,4.576411318423142,4.013905961766877,4.588338396442471
69,4.576411318423142,4.006144615869756,4.5950120491768
70,4.576411318423142,4.000343568318547,4.61566461378069
71,4.576411318423142,3.993161952463094,4.625310011764069
72,4.576411318423142,3.986402844213336,4.6046150477964485
73,4.576411318423142,3.981807088981857,4.608726512140302
74,4.576411318423142,3.971867627603806,4.5848737332358285
75,4.576411318423142,3.967805926091669,4.624053976429043
