epoch,min_v_loss,t_l2,t_l1_reg,v_l2,v_l1_reg
1,0.03502464401194961,0.0179704542960669,0.0005151185160930508,0.03502464401194961,0.0002122407749993727
2,0.02773192105814814,0.01398724164655663,0.00050903235154178,0.02773192105814814,0.0002566369151215285
3,0.023798870172624182,0.013338692209356294,0.000514703855194415,0.023798870172624182,0.00030208841869863116
4,0.019689376897564743,0.01301651841787631,0.0005175126863713018,0.019689376897564743,0.00034815769136113846
5,0.019689376897564743,0.012770946453795244,0.000519702419026483,0.02003418327672634,0.0003524631552508941
6,0.019689376897564743,0.01258459632085729,0.0005213945043231235,0.022147997384663762,0.00030363300263671575
7,0.019689376897564743,0.01241584647392757,0.0005228740917940513,0.01988434760899442,0.00033954039569901554
8,0.019689376897564743,0.012296992358604363,0.0005239518830220197,0.02072350412221035,0.0003207843774140289
9,0.019689376897564743,0.012201305559449831,0.0005248028465386981,0.02108581375512408,0.0003205344039931178
10,0.019689376897564743,0.012076070463500791,0.0005260862952886872,0.021828257660495072,0.0003095345362054082
11,0.019689376897564743,0.011970677682549028,0.0005269789337332412,0.02088339969788383,0.00031725717328698946
12,0.019689376897564743,0.011875558734853665,0.0005279721654272506,0.02076905915263768,0.00031867161740636933
13,0.0196893768975647,0.012774930010374407,0.0005196440819360041,0.020572723599332498,0.0003332252943037906
14,0.0196893768975647,0.012578956917569165,0.0005214925613615067,0.021599388613206583,0.0003150938662257409
15,0.019180137601612912,0.012446010417650583,0.000522553672248377,0.019180137601612912,0.0003488895137440811
16,0.019180137601612912,0.0123133633053129,0.0005238603777441127,0.021851496521110937,0.00029739102434931986
17,0.019180137601612912,0.012194341418633906,0.0005248845487247351,0.021722002568223132,0.00030367839489616296
18,0.019180137601612912,0.012075893031032668,0.0005260665542707352,0.022379238760416826,0.00029177314633959273
19,0.019180137601612912,0.011986136804110687,0.0005267988157135518,0.021164706306214018,0.00031065784707784693
20,0.019180137601612912,0.011885874438235132,0.0005278908296792482,0.024215483526903683,0.00026429754436277305
21,0.019180137601612912,0.01177933484998121,0.0005288527150309103,0.026081850888525566,0.0002409678758473403
22,0.019180137601612912,0.011707550702004927,0.0005294986279867405,0.022548588083648097,0.0002823163692771298
23,0.019180137601612912,0.011613747299967359,0.0005303839451310589,0.02475623394612495,0.0002525385315515805
24,0.019180137601612912,0.011546515054338725,0.0005311122425094834,0.027454731951853842,0.00021685541531308152
