epoch,min_v_loss,t_l1,v_l1
5,0.24447286874055862,0.17173855567491175,0.24447286874055862
10,0.23734178952872753,0.16954598631910106,0.23734178952872753
15,0.23239495046436787,0.15751467725282073,0.23239495046436787
20,0.23225623555481434,0.15680775903565905,0.23225623555481434
25,0.22028598375618458,0.15875994245852193,0.22028598375618458
30,0.22028598375618458,0.15911559800627412,0.22506108786910772
35,0.2133272886276245,0.15741365787483025,0.2133272886276245
40,0.2133272886276245,0.15417445230708324,0.2216389700770378
45,0.2133272886276245,0.16320721052026235,0.2199888378381729
50,0.2133272886276245,0.15750198867372286,0.23435838520526886
55,0.2133272886276245,0.15179814758800686,0.2368770856410265
60,0.2133272886276245,0.15597133983367237,0.23932458274066448
65,0.1965023186057806,0.15769410766260591,0.1965023186057806
70,0.1965023186057806,0.16355426617527516,0.20147128961980343
75,0.1965023186057806,0.1551448113174849,0.22761603444814682
80,0.1965023186057806,0.15756724422336907,0.21633661724627018
85,0.1965023186057806,0.15810153657390227,0.23726274259388447
90,0.1965023186057806,0.16604247609133363,0.21986782178282738
95,0.1965023186057806,0.1586541209810524,0.24600842408835888
100,0.1965023186057806,0.1543152120004418,0.22246062383055687
105,0.1965023186057806,0.15420378071646537,0.2322254255414009
110,0.1965023186057806,0.1545507370704605,0.2263768818229437
115,0.1965023186057806,0.16428526851438713,0.2183469422161579
120,0.1965023186057806,0.15479309232004226,0.22722711972892284
125,0.1965023186057806,0.1570409380139843,0.20826023072004318
130,0.1965023186057806,0.15465832541706748,0.2188234981149435
135,0.1965023186057806,0.1546385456477442,0.2166385855525732
140,0.1965023186057806,0.15913826840058448,0.21167354471981525
145,0.1965023186057806,0.1581258888366402,0.2002237644046545
150,0.1965023186057806,0.16046355087910927,0.21378543227910995
155,0.1965023186057806,0.15403440194104312,0.22964553628116846
160,0.19176889676600695,0.1597628591041411,0.19176889676600695
165,0.19176889676600695,0.155114272829666,0.22600575350224972
170,0.19176889676600695,0.16244784277933896,0.21808595210313797
175,0.19176889676600695,0.15551032854985172,0.207964725792408
180,0.19176889676600695,0.15537516652576386,0.21283899154514074
185,0.19176889676600695,0.15635096049436967,0.22198283858597279
190,0.19176889676600695,0.15584042932718034,0.21189800091087818
195,0.19176889676600695,0.15406821395761228,0.21096124593168497
200,0.19176889676600695,0.1527847186211617,0.2385056708008051
205,0.19176889676600695,0.1651073111000882,0.21667092107236385
210,0.19176889676600695,0.1535461239757077,0.22184076346457005
215,0.19176889676600695,0.15584556461982835,0.2267327392473817
220,0.19176889676600695,0.15259001508194917,0.22484533116221428
225,0.19176889676600695,0.15108633321780032,0.20053544268012047
230,0.19176889676600695,0.15616784509151213,0.23828883282840252
235,0.19176889676600695,0.15350160871942842,0.23864302970468998
240,0.19176889676600695,0.14943861769091699,0.21920201368629932
245,0.19176889676600695,0.15347633839294475,0.2166474685072899
250,0.19176889676600695,0.14920235385176955,0.21683336421847343
255,0.19176889676600695,0.15691039470895643,0.21459672506898642
260,0.19176889676600695,0.1608086165080789,0.21415902115404606
265,0.19176889676600695,0.15933816415327848,0.21549486741423607
270,0.19176889676600695,0.15693028367334796,0.20592587627470493
275,0.19176889676600695,0.16359472611258105,0.22061566449701786
280,0.19176889676600695,0.15720497632539404,0.22546676360070705
285,0.19176889676600695,0.15365866411437276,0.20335667580366135
290,0.19176889676600695,0.14652562710226222,0.2125511858612299
295,0.19176889676600695,0.15359783549142145,0.21057109907269478
300,0.19176889676600695,0.1576942939271209,0.25184529460966587
305,0.19176889676600695,0.1558885451766752,0.2212996520102024
310,0.19176889676600695,0.16000253194442354,0.20165124721825123
315,0.19176889676600695,0.1561426428617328,0.22751181200146675
320,0.19176889676600695,0.15763226023284344,0.20562461204826832
